,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
140,,False,2023-09-16T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Connolly,,FWD,Brighton,5,,Man Utd,6,3,2.558271745309835,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3744.6666666666665,0.0,0.0,0.0,1099.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,492.6177242266281,0.0,0.0,0.0,483.6610383315985,0.0
661,,True,2023-09-16T14:00:00Z,,,,,,,,,,,,,,,,,,43,,,,,Aaron Cresswell,,DEF,West Ham,5,,Man City,14,1,3.058321479374111,8,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74002.66666666667,0.0,0.0,1658.3333333333333,12623.0,44.666666666666664,3.0,0.0,0.0,0.0,0.0,0.0,8253.821754530174,0.0,0.0,80.13876853447539,1466.5394641808996,0.4714045207910317
115,,False,2023-09-16T16:30:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Hickey,,DEF,Brentford,5,,Newcastle,9,4,2.6690391459074734,2,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,DEF,2023-24,0.0,0.0,16.333333333333332,0.6666666666666666,1.4000000000000001,0.6666666666666666,0.0,0.7333333333333334,5.2,78.33333333333333,0.0,0.0,0.0,0.0,0.0,29782.0,0.3333333333333333,3.6666666666666665,1712.6666666666667,1978.3333333333333,45.0,2.3333333333333335,1.8856180831641267,0.14142135623730953,0.7542472332656508,7.353910524340094,1.8856180831641267,1893.6319600175743,0.4714045207910317,1.8856180831641267,278.1286672667087,210.24641627280013,0.0
15,,False,2023-09-17T15:30:00Z,,,,,,,,,,,,,,,,,,50,,,,,Aaron Ramsdale,,GKP,Arsenal,5,,Everton,2,17,2.9708853238265003,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,GK,2023-24,0.0,0.0,20.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.3666666666666665,13.866666666666667,90.0,0.0,0.0,0.0,0.0,1.6666666666666667,1609660.0,0.0,4.666666666666667,39014.333333333336,102459.33333333333,50.0,3.0,7.0710678118654755,0.0,0.18856180831641264,2.1684607956387456,0.0,22628.831211531895,0.0,1.8856180831641267,9177.774615280596,14853.956450125408,0.0
210,,False,2023-09-18T18:45:00Z,,,,,,,,,,,,,,,,,,50,,,,,Aaron Ramsey,,MID,Burnley,5,,Nott'm Forest,20,16,2.635740643120717,2,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,True,2023-09-16T14:00:00Z,,,,,,,,,,,,,,,,,,46,,,,,Aaron Wan-Bissaka,,DEF,Man Utd,5,,Brighton,3,6,2.3244062657908033,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,DEF,2023-24,0.0,0.0,12.333333333333334,0.0,8.666666666666666,1.6666666666666667,0.0,2.3000000000000003,12.933333333333332,73.33333333333333,0.0,0.0,0.0,0.0,0.0,439440.6666666667,1.3333333333333333,1.0,131248.0,38034.0,45.333333333333336,0.0,1.8856180831641267,4.9968879203849355,0.42426406871192845,10.088056744928076,11.785113019775793,80168.46701928522,0.9428090415820634,0.0,61041.6999927099,33245.332424266715,0.4714045207910317
293,,True,2023-09-17T15:30:00Z,,,,,,,,,,,,,,,,,,55,,,,,Abdoulaye Doucouré,,MID,Everton,5,,Arsenal,17,2,3.8787023977433006,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,MID,2023-24,0.0,0.6666666666666666,9.666666666666666,0.0,17.433333333333334,3.3333333333333335,0.3333333333333333,6.766666666666667,15.600000000000001,90.0,0.0,0.0,0.0,0.0,0.0,21487.333333333332,34.333333333333336,4.0,2596.6666666666665,3078.6666666666665,55.0,0.3333333333333333,10.842303978193728,3.4412530017745318,6.175399222362516,21.213203435596427,0.0,230.98821518760553,37.2409571424915,2.8284271247461903,870.6841499010355,206.00377558568084,0.0
219,,False,2023-09-17T13:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Abdul Rahman Baba,,DEF,Chelsea,5,,Bournemouth,12,15,1.7833259028087383,12,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,81.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,36.76955262170047,0.0,0.0,0.0,36.76955262170047,0.0
592,,False,2023-09-16T14:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Adam Davies,,GKP,Sheffield Utd,5,,Spurs,20,8,2.572347266881029,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19150.0,0.0,0.0,802.3333333333334,1212.6666666666667,40.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,288.4995667241114,0.0,0.0,117.85113019775793,146.60680596601085,0.0
151,,False,2023-09-16T14:00:00Z,,,,,,,,,,,,,,,,,,49,,,,,Adam Lallana,,MID,Brighton,5,,Man Utd,6,3,2.785673678226265,6,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,MID,2023-24,0.0,0.0,2.0,0.0,8.433333333333332,0.3333333333333333,0.0,1.2,2.1333333333333333,9.0,0.0,0.0,0.0,0.0,0.0,4890.666666666667,1.3333333333333333,0.6666666666666666,96.66666666666667,1484.3333333333333,49.666666666666664,3.0,2.8284271247461903,4.61976430375211,0.7071067811865476,1.5084944665313016,0.0,114.07989403142967,0.9428090415820634,0.4714045207910317,74.481914284983,634.5104849847287,0.4714045207910317
