,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
134,0.0,False,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-1441.0,4093.0,0.0,1441.0,Aaron Connolly,45.0,FWD,Brighton,2,3.0,Wolves,6,13,2.701080432172869,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5621.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,0.0,True,2023-08-20T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-11945.0,79839.0,1715.0,13660.0,Aaron Cresswell,44.0,DEF,West Ham,2,3.0,Chelsea,14,12,3.4482758620689653,0,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85483.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,5.0,False,2023-08-19T14:00:00Z,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.5,0.0,0.2,45,-611.0,28443.0,1516.0,2127.0,Aaron Hickey,45.0,DEF,Brentford,2,3.0,Fulham,9,10,2.8938906752411575,1,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,,2023-24,0.0,0.0,7.0,0.0,10.8,2.0,0.0,2.6,11.0,71.0,0.0,0.0,0.0,0.0,0.0,26398.0,4.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,6.0,False,2023-08-21T19:00:00Z,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,15.4,0.0,0.0,1.5,50,-46452.0,1625661.0,45504.0,91956.0,Aaron Ramsdale,50.0,GKP,Arsenal,2,3.0,Crystal Palace,2,11,2.718868950516585,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,,2023-24,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.3,12.6,90.0,0.0,0.0,0.0,0.0,1.0,1510016.0,0.0,2.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,1.0,False,2023-08-19T16:30:00Z,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.8,12.2,2.0,2.0,45,159885.0,382753.0,174411.0,14526.0,Aaron Wan-Bissaka,46.0,DEF,Man Utd,2,0.0,Spurs,3,8,2.459016393442623,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,,2023-24,1.0,3.0,40.0,1.0,33.7,0.0,0.0,8.2,42.4,90.0,0.0,0.0,0.0,0.0,0.0,122037.0,6.0,12.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,2.0,False,2023-08-20T13:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,15.0,8.0,2.4,55,-952.0,21324.0,1981.0,2933.0,Abdoulaye Doucouré,55.0,MID,Everton,2,0.0,Aston Villa,17,7,3.7187288708586883,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,,2023-24,0.0,0.0,7.0,0.0,34.4,1.0,0.0,6.8,8.8,90.0,0.0,0.0,0.0,0.0,0.0,18521.0,25.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,False,2023-08-20T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-107.0,432.0,0.0,107.0,Abdul Rahman Baba,40.0,DEF,Chelsea,2,0.0,West Ham,12,14,2.0110608345902463,11,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0.0,False,2023-08-18T18:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-390.0,18946.0,719.0,1109.0,Adam Davies,40.0,GKP,Sheffield Utd,2,0.0,Nott'm Forest,20,16,2.797202797202797,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1.0,False,2023-08-19T14:00:00Z,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.2,11.7,2.0,1.7,50,-1889.0,4810.0,44.0,1933.0,Adam Lallana,49.0,MID,Brighton,2,3.0,Wolves,6,13,3.0012004801920766,4,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6587.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,False,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-729.0,1990.0,44.0,773.0,Adam Smith,44.0,DEF,Bournemouth,2,0.0,Liverpool,15,5,2.8846153846153846,0,0.0,1.0,74.0,2940.0,58.0,261.6,406.2,88.0,5.0,400.0,75.7,7.0,0.0,11.0,0.2,43.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
