,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
279,0.0,False,2023-08-20T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,-6674.0,28908.0,754.0,7428.0,Demarai Gray,54.0,MID,Everton,3,0.0,Sheffield Utd,17,20,3.7187288708586883,0,4.0,1.0,91.0,2501.0,39.0,605.2,410.4,670.0,4.0,284.0,168.5,7.0,0.0,3.0,0.6,51.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30474.0,0.0,0.0,377.0,3714.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,377.0,3714.0,0.0
178,0.0,True,2023-08-27T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-843.0,14286.0,269.0,1112.0,Denis Franchi,40.0,GKP,Burnley,3,0.0,Spurs,20,8,2.408187838651415,2,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14135.5,0.0,0.0,134.5,556.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,150.5,0.0,0.0,134.5,556.0,0.0
156,0.0,False,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,-2490.0,3259.0,0.0,2490.0,Deniz Undav,55.0,FWD,Brighton,3,3.0,Newcastle,6,4,3.3013205282112845,2,5.0,2.0,52.0,614.0,9.0,105.7,157.6,333.0,4.0,173.0,59.5,2.0,0.0,2.0,0.8,50.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4545.0,0.0,0.0,0.0,1245.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1245.0,0.0
606,5.0,True,2023-08-19T16:30:00Z,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.2,12.3,37.0,6.0,45,8520.0,207601.0,16364.0,7844.0,Destiny Udogie,46.0,DEF,Spurs,3,3.0,Burnley,8,20,2.459016393442623,2,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,13.0,0.5,14.8,1.0,0.0,4.75,13.0,79.5,0.0,0.0,0.0,0.0,0.0,197861.0,19.5,3.0,8182.0,3922.0,45.0,2.0,3.0,2.5,1.25,2.8000000000000007,10.5,9740.0,17.5,2.0,8182.0,3922.0,0.0
42,1.0,True,2023-08-20T13:00:00Z,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.2,0.2,0.0,1.5,45,-1562.0,44605.0,4081.0,5643.0,Diego Carlos Santos Silva,45.0,DEF,Aston Villa,3,3.0,Liverpool,7,5,2.816020025031289,1,0.0,0.0,4.0,205.0,3.0,13.2,24.8,32.0,0.0,20.0,7.0,0.0,0.0,0.0,0.2,47.0,,2023-24,0.0,0.0,7.0,0.0,0.30000000000000004,1.0,0.0,3.1,12.3,26.0,0.0,0.0,0.0,0.0,0.0,40543.5,18.5,0.5,2040.5,2821.5,45.0,1.5,1.0,0.1,1.6,2.8999999999999995,0.0,4061.5,18.5,0.5,2040.5,2821.5,0.0
435,1.0,False,2023-08-19T16:30:00Z,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.6,2.2,2.0,1.1,50,-32377.0,146811.0,4362.0,36739.0,Diogo Dalot Teixeira,49.0,DEF,Man Utd,3,0.0,Arsenal,3,2,2.6737967914438503,1,1.0,2.0,102.0,2152.0,34.0,418.6,469.4,272.0,19.0,502.0,116.0,10.0,0.0,6.0,6.3,48.0,,2023-24,0.0,0.0,2.0,0.0,1.1,0.5,0.0,0.55,3.3,12.0,0.0,0.0,0.0,0.0,0.0,156391.5,1.0,0.5,2181.0,18369.5,50.0,1.5,2.0,1.1,0.55,3.3,12.0,9580.5,1.0,0.5,2181.0,18369.5,0.0
335,12.0,True,2023-08-19T14:00:00Z,75.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,39.8,22.9,98.0,16.1,80,-2050.0,267516.0,29834.0,31884.0,Diogo Teixeira da Silva,80.0,MID,Liverpool,3,3.0,Aston Villa,5,7,4.703115814226925,1,7.0,4.0,80.0,1125.0,19.0,237.9,304.2,337.0,9.0,282.0,87.5,5.0,0.0,2.0,2.0,86.0,,2023-24,0.5,1.0,18.0,0.0,17.9,1.0,0.5,9.350000000000001,21.5,70.0,0.0,0.0,0.0,0.0,0.0,253018.5,54.0,6.5,14917.0,15942.0,80.0,2.0,15.0,4.999999999999999,6.750000000000001,18.3,5.0,14497.5,44.0,5.5,14917.0,15942.0,0.0
379,0.0,False,2023-08-25T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-2688.0,15241.0,200.0,2888.0,Dion Pereira,44.0,MID,Luton,3,0.0,West Ham,20,14,2.667457024303497,8,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17021.5,0.0,0.0,100.0,1444.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.5,0.0,0.0,100.0,1444.0,0.0
629,0.0,True,2023-08-20T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-42493.0,1020799.0,29343.0,71836.0,Divin Mubama,45.0,FWD,West Ham,3,3.0,Luton,14,20,3.4482758620689653,3,0.0,0.0,3.0,36.0,0.0,11.4,2.4,0.0,0.0,7.0,1.4,0.0,0.0,0.0,0.1,45.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013899.0,0.0,0.0,14671.5,35918.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.0,0.0,14671.5,35918.0,0.0
604,0.0,True,2023-08-19T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-1677.0,55406.0,3056.0,4733.0,Djed Spence,40.0,DEF,Spurs,3,3.0,Burnley,8,20,2.185792349726776,11,0.0,0.0,4.0,5.0,0.0,1.3,0.2,20.0,0.0,10.0,2.2,0.0,0.0,0.0,0.2,41.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52375.5,0.0,0.0,1528.0,2366.5,40.0,2.0,0.0,0.0,0.0,0.0,0.0,3030.5,0.0,0.0,1528.0,2366.5,0.0
