,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
131,0.0,True,2023-09-02T16:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-415.0,3048.0,0.0,415.0,Aaron Connolly,45.0,FWD,Brighton,4,3.0,Newcastle,6,4,2.722323049001815,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4602.333333333333,0.0,0.0,0.0,960.6666666666666,45.0,3.0,0.0,0.0,0.0,0.0,0.0,720.3061077686964,0.0,0.0,0.0,679.2939144598766,0.0
538,0.0,False,2023-09-01T19:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,-9004.0,62330.0,1545.0,10549.0,Aaron Cresswell,43.0,DEF,West Ham,4,3.0,Luton,14,20,3.5541195476575123,5,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81720.33333333333,0.0,0.0,1143.3333333333333,9106.666666666666,45.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,2660.607115344583,0.0,0.0,808.4587531566194,6439.385754005492,0.0
109,1.0,True,2023-09-02T14:00:00Z,81.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.6,1.2,1.0,1.8,45,425.0,32460.0,2106.0,1681.0,Aaron Hickey,45.0,DEF,Brentford,4,1.0,Bournemouth,9,15,2.892030848329049,2,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,,2023-24,0.0,0.0,12.333333333333334,0.6666666666666666,4.6000000000000005,0.6666666666666666,0.0,1.0000000000000002,3.6666666666666665,75.0,0.0,0.0,0.0,0.0,0.0,27761.333333333332,1.3333333333333333,3.3333333333333335,1010.6666666666666,1418.0,45.0,2.3333333333333335,3.7712361663282534,4.384062043356595,1.1313708498984762,5.185449728701348,2.8284271247461903,964.0222450176599,1.8856180831641267,2.3570226039551585,714.649253519204,1002.6774157225244,0.0
15,2.0,True,2023-09-03T15:30:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.8,0.0,0.0,1.1,50,-97431.0,1577658.0,26035.0,123466.0,Aaron Ramsdale,50.0,GKP,Arsenal,4,3.0,Man Utd,2,3,2.965599051008304,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,,2023-24,0.0,0.0,20.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.4333333333333333,14.466666666666667,90.0,0.0,0.0,0.0,0.0,1.6666666666666667,1587112.6666666667,0.0,4.666666666666667,30336.0,61304.0,50.0,3.0,7.0710678118654755,0.0,0.09428090415820632,1.319932658214889,0.0,54515.57580687886,0.0,1.8856180831641267,21450.791314075104,43348.47411386011,0.0
375,1.0,False,2023-09-03T15:30:00Z,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.2,1.6,0.0,2.9,46,-40128.0,552816.0,44922.0,85050.0,Aaron Wan-Bissaka,46.0,DEF,Man Utd,4,0.0,Arsenal,3,2,2.5944726452340667,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,,2023-24,0.3333333333333333,1.0,20.666666666666668,0.3333333333333333,19.36666666666667,0.6666666666666666,0.0,4.066666666666666,17.999999999999996,73.33333333333333,0.0,0.0,0.0,0.0,0.0,295847.6666666667,3.3333333333333335,4.666666666666667,116274.0,9684.0,45.0,1.0,13.670731102939918,10.135197197007184,2.922708028904396,17.25340546095176,11.785113019775793,122902.70104255462,1.8856180831641267,5.185449728701348,82218.13387568462,6847.6220690105265,0.0
235,8.0,False,2023-09-02T11:30:00Z,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,45.6,22.3,87.0,15.5,55,458.0,21814.0,3828.0,3370.0,Abdoulaye Doucouré,55.0,MID,Everton,4,1.0,Sheffield Utd,17,20,4.208110175975516,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,,2023-24,0.0,0.0,3.6666666666666665,0.0,21.46666666666667,3.0,0.0,3.8666666666666667,3.3333333333333335,90.0,0.0,0.0,0.0,0.0,0.0,20389.666666666668,13.666666666666666,2.0,1320.6666666666667,1955.3333333333333,55.0,0.0,2.3570226039551585,9.145247703346014,2.0741798914805396,3.86551707048646,0.0,1321.3468717772616,8.013876853447538,0.0,933.8523556870339,1382.6294594800959,0.0
167,0.0,True,2023-09-02T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-29.0,354.0,0.0,29.0,Abdul Rahman Baba,40.0,DEF,Chelsea,4,0.0,Nott'm Forest,12,16,2.0202020202020203,12,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.3333333333333,0.0,0.0,0.0,71.33333333333333,40.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,51.383092766222454,0.0,0.0,0.0,50.44028372464039,0.0
473,0.0,True,2023-09-02T11:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-451.0,19558.0,969.0,1420.0,Adam Davies,40.0,GKP,Sheffield Utd,4,1.0,Everton,20,17,2.8228652081863093,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18367.333333333332,0.0,0.0,479.3333333333333,739.3333333333334,40.0,0.0,0.0,0.0,0.0,0.0,0.0,818.3582480932309,0.0,0.0,338.93985044875177,522.7876135572541,0.0
142,0.0,True,2023-09-02T16:30:00Z,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.9,0.0,0.2,49,-385.0,5052.0,202.0,587.0,Adam Lallana,49.0,MID,Brighton,4,3.0,Newcastle,6,4,2.9643073200241985,6,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,,2023-24,0.0,0.0,2.6666666666666665,0.0,7.8,0.0,0.0,1.1333333333333333,2.1333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,5402.333333333333,1.3333333333333333,0.6666666666666666,29.333333333333332,1288.6666666666667,50.0,3.0,1.8856180831641267,5.5154328932550705,0.8013876853447538,1.5084944665313014,4.242640687119285,837.6858334456633,0.9428090415820634,0.4714045207910317,20.741798914805393,911.2249386890643,0.0
84,0.0,False,2023-09-02T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,-212.0,1481.0,43.0,255.0,Adam Smith,44.0,DEF,Bournemouth,4,1.0,Brentford,15,9,2.8478964401294498,4,0.0,1.0,74.0,2940.0,58.0,261.6,406.2,88.0,5.0,400.0,75.7,7.0,0.0,11.0,0.2,43.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.6666666666665,0.0,0.0,29.333333333333332,515.3333333333334,45.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,327.62614194976703,0.0,0.0,20.741798914805393,364.3956945714675,0.0
