,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
19,20,12,Crystal Palace,8,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,2,29,27.6,1.2,0.0,2.9,1,0.00,0.01,0.01,1.06,51,279299,2061837,320796,41497,20,William Saliba,52,DEF,Crystal Palace,Arsenal,Arsenal
20,21,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-266,1955,62,328,21,Albert Sambi Lokonga,49,MID,Crystal Palace,Arsenal,Arsenal
21,22,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-3123,15089,436,3559,22,Emile Smith Rowe,54,MID,Crystal Palace,Arsenal,Arsenal
22,23,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1878,26211,1698,3576,23,Nuno Varela Tavares,40,DEF,Crystal Palace,Arsenal,Arsenal
23,24,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3895,30163,1555,5450,24,Kieran Tierney,44,DEF,Crystal Palace,Arsenal,Arsenal
24,25,12,Crystal Palace,3,False,2023-08-21T19:00:00Z,0,1,2,66,0,0,1,0,0,0,0,0,1,0,0,13,0.0,3.8,0.0,0.2,1,0.00,0.03,0.03,1.79,45,1117,24757,4024,2907,25,Takehiro Tomiyasu,45,DEF,Crystal Palace,Arsenal,Arsenal
25,26,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,69,-115616,412699,8125,123741,26,Leandro Trossard,67,MID,Crystal Palace,Arsenal,Arsenal
26,29,12,Crystal Palace,7,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,1,26,21.6,4.2,0.0,2.6,1,0.00,0.02,0.02,1.06,55,-26439,846686,40504,66943,29,Benjamin White,55,DEF,Crystal Palace,Arsenal,Arsenal
27,30,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-672,1484,0,672,30,Granit Xhaka,60,MID,Crystal Palace,Arsenal,Arsenal
28,31,12,Crystal Palace,1,False,2023-08-21T19:00:00Z,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2,1.3,0.0,0.2,0,0.00,0.00,0.00,0.26,50,-91078,528181,18283,109361,31,Oleksandr Zinchenko,49,DEF,Crystal Palace,Arsenal,Arsenal
29,113,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-90113,388156,5826,95939,113,David Raya Martin,49,GKP,Fulham,Brentford,Arsenal
30,540,12,Crystal Palace,3,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,0,20,22.8,19.0,2.0,4.4,1,0.00,0.23,0.23,1.06,55,-35250,551259,28690,63940,540,Declan Rice,54,MID,Crystal Palace,Arsenal,Arsenal
31,578,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-264,2988,241,505,578,Reiss Nelson,49,MID,Crystal Palace,Arsenal,Arsenal
32,585,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-285875,215334,10430,296305,585,Jurriën Timber,48,DEF,Crystal Palace,Arsenal,Arsenal
33,646,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,159,1045,185,26,646,Karl Hein,40,GKP,Crystal Palace,Arsenal,Arsenal
34,32,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-719,3938,197,916,32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Everton,Aston Villa
35,34,11,Everton,14,True,2023-08-20T13:00:00Z,4,0,2,62,1,1,1,0,0,0,0,0,0,0,3,41,50.0,13.2,31.0,9.4,1,0.32,0.68,1.00,0.64,55,-3030,63516,6101,9131,34,Leon Bailey,55,MID,Aston Villa,Everton,Aston Villa
36,35,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,59,-10038,9635,92,10130,35,Emiliano Buendía Stati,58,MID,Aston Villa,Everton,Aston Villa
37,36,11,Everton,6,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,27,24.4,16.3,0.0,4.1,1,0.00,0.27,0.27,0.68,45,21738,696141,65696,43958,36,Matty Cash,46,DEF,Aston Villa,Everton,Aston Villa
38,37,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-4104,125410,4839,8943,37,Calum Chambers,40,DEF,Aston Villa,Everton,Aston Villa
39,38,11,Everton,1,True,2023-08-20T13:00:00Z,4,0,2,21,0,0,0,0,0,0,0,0,0,0,0,4,4.0,1.0,8.0,1.3,0,0.07,0.01,0.08,0.03,60,-5406,53391,3394,8800,38,Philippe Coutinho Correia,59,MID,Aston Villa,Everton,Aston Villa
40,39,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-2102,24840,2242,4344,39,Keinan Davis,49,FWD,Aston Villa,Everton,Aston Villa
41,40,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-862,1666,15,877,40,Leander Dendoncker,49,MID,Aston Villa,Everton,Aston Villa
42,41,11,Everton,1,True,2023-08-20T13:00:00Z,4,0,2,26,0,0,0,0,0,0,0,0,0,0,0,8,15.2,0.2,0.0,1.5,0,0.00,0.00,0.00,0.03,45,-1562,44605,4081,5643,41,Diego Carlos Santos Silva,45,DEF,Aston Villa,Everton,Aston Villa
43,42,11,Everton,10,True,2023-08-20T13:00:00Z,4,0,2,90,0,1,1,0,0,0,0,1,0,0,2,31,14.8,17.7,5.0,3.8,1,0.02,0.05,0.07,0.68,45,7057,115312,17061,10004,42,Lucas Digne,45,DEF,Aston Villa,Everton,Aston Villa
44,43,11,Everton,7,True,2023-08-20T13:00:00Z,4,0,2,63,1,0,1,0,0,0,0,1,0,0,0,30,44.0,14.4,19.0,7.7,1,0.79,0.10,0.89,0.64,55,-27868,233546,4278,32146,43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,Everton,Aston Villa
45,44,11,Everton,7,True,2023-08-20T13:00:00Z,4,0,2,16,1,0,0,0,0,0,0,0,0,0,2,31,38.2,11.7,19.0,6.9,0,0.55,0.00,0.55,0.03,50,-1228,3101,67,1295,44,Jhon Durán,50,FWD,Aston Villa,Everton,Aston Villa
46,45,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-835,19149,841,1676,45,Kortney Hause,40,DEF,Aston Villa,Everton,Aston Villa
