,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
89,86,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-738,1904,37,775,86,Marcus Tavernier,54,MID,Liverpool,Bournemouth,Bournemouth
90,87,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,7,9.8,0.6,26.0,3.6,0,0.15,0.00,0.15,0.00,50,-383,2095,52,435,87,Hamed Traorè,49,MID,Liverpool,Bournemouth,Bournemouth
91,88,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2164,15145,0,2164,88,Mark Travers,40,GKP,Liverpool,Bournemouth,Bournemouth
92,89,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,17,33.4,0.2,0.0,3.4,1,0.00,0.00,0.00,3.08,45,221,8955,1063,842,89,Illia Zabarnyi,45,DEF,Liverpool,Bournemouth,Bournemouth
93,595,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,11,20.4,5.5,2.0,2.8,1,0.00,0.01,0.01,3.08,45,-6,21934,1583,1589,595,Milos Kerkez,45,DEF,Liverpool,Bournemouth,Bournemouth
94,607,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-908,9821,133,1041,607,Ionuț Radu,45,GKP,Liverpool,Bournemouth,Bournemouth
95,619,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,195,13819,1325,1130,619,Ben Greenwood,40,DEF,Liverpool,Bournemouth,Bournemouth
96,643,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,15,22.6,5.3,2.0,3.0,1,0.02,0.02,0.04,3.08,45,3511,13959,4519,1008,643,Max Aarons,45,DEF,Liverpool,Bournemouth,Bournemouth
97,644,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-148,1078,254,402,644,Alex Scott,50,MID,Liverpool,Bournemouth,Bournemouth
98,90,13,Fulham,4,False,2023-08-19T14:00:00Z,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,15,17.4,10.4,7.0,3.5,0,0.15,0.55,0.70,0.02,45,1905,29542,4182,2277,90,Kristoffer Ajer,45,DEF,Fulham,Brentford,Brentford
99,91,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-373,23754,929,1302,91,Ellery Balcombe,40,GKP,Fulham,Brentford,Brentford
100,92,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-15055,282236,8481,23536,92,Shandon Baptiste,45,MID,Fulham,Brentford,Brentford
101,93,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-603,19095,971,1574,93,Mads Bech Sørensen,40,DEF,Fulham,Brentford,Brentford
102,94,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-58,201,0,58,94,Mads Bidstrup,45,MID,Fulham,Brentford,Brentford
103,95,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-483,4108,258,741,95,Sergi Canós Tenés,50,MID,Fulham,Brentford,Brentford
104,96,13,Fulham,6,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,29,14.4,1.0,13.0,2.8,1,0.08,0.20,0.28,0.46,45,836,26673,2488,1652,96,Nathan Collins,45,DEF,Fulham,Brentford,Brentford
105,97,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-167,901,0,167,97,Matthew Cox,40,GKP,Fulham,Brentford,Brentford
106,98,13,Fulham,1,False,2023-08-19T14:00:00Z,0,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.3,0,0.00,0.00,0.00,0.09,50,-685,11150,825,1510,98,Mikkel Damsgaard,49,MID,Fulham,Brentford,Brentford
107,99,13,Fulham,1,False,2023-08-19T14:00:00Z,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.1,0,0.00,0.00,0.00,0.07,50,-1107,10950,596,1703,99,Josh Dasilva,49,MID,Fulham,Brentford,Brentford
108,100,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-266,1149,0,266,100,Halil Dervişoğlu,45,FWD,Fulham,Brentford,Brentford
109,101,13,Fulham,6,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,2,0,28,19.2,0.0,0.0,1.9,1,0.00,0.00,0.00,0.46,45,7871,181430,16379,8508,101,Mark Flekken,45,GKP,Fulham,Brentford,Brentford
110,102,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-676,14271,541,1217,102,Charlie Goode,40,DEF,Fulham,Brentford,Brentford
111,103,13,Fulham,5,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,1,0,0,0,18,7.0,1.9,2.0,1.1,1,0.00,0.09,0.09,0.46,45,166244,383149,178765,12521,103,Rico Henry,46,DEF,Fulham,Brentford,Brentford
112,104,13,Fulham,5,False,2023-08-19T14:00:00Z,0,3,2,77,0,0,1,0,0,0,0,1,0,0,0,15,0.0,1.5,0.0,0.2,1,0.00,0.01,0.01,0.36,45,-611,28443,1516,2127,104,Aaron Hickey,45,DEF,Fulham,Brentford,Brentford
113,105,13,Fulham,3,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,11,7.8,14.4,4.0,2.6,1,0.00,0.15,0.15,0.46,55,-283,7750,783,1066,105,Vitaly Janelt,55,MID,Fulham,Brentford,Brentford
114,106,13,Fulham,3,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,25,26.6,65.8,19.0,11.1,1,0.07,0.68,0.75,0.46,55,-12476,67183,1748,14224,106,Mathias Jensen,54,MID,Fulham,Brentford,Brentford
115,107,13,Fulham,1,False,2023-08-19T14:00:00Z,0,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.3,17.0,2.0,0,0.22,0.01,0.23,0.09,50,-417,3326,107,524,107,Keane Lewis-Potter,49,MID,Fulham,Brentford,Brentford
116,108,13,Fulham,16,False,2023-08-19T14:00:00Z,0,3,2,90,2,0,1,0,0,0,0,0,0,0,3,43,75.8,16.1,71.0,16.3,1,1.79,0.24,2.03,0.46,65,230616,1037007,257141,26525,108,Bryan Mbeumo,68,MID,Fulham,Brentford,Brentford
117,109,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-119115,460144,7589,126704,109,Ben Mee,49,DEF,Fulham,Brentford,Brentford
118,110,13,Fulham,3,False,2023-08-19T14:00:00Z,0,3,2,78,0,0,1,0,0,0,0,0,0,0,0,11,12.8,1.3,10.0,2.4,1,0.02,0.02,0.04,0.36,55,-604,13733,867,1471,110,Christian Nørgaard,55,MID,Fulham,Brentford,Brentford
119,111,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-228,770,11,239,111,Frank Onyeka,49,MID,Fulham,Brentford,Brentford
120,112,13,Fulham,7,False,2023-08-19T14:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,1,32,26.8,20.7,10.0,5.8,1,0.04,0.22,0.26,0.46,45,-3382,179607,6001,9383,112,Ethan Pinnock,45,DEF,Fulham,Brentford,Brentford
121,114,13,Fulham,1,False,2023-08-19T14:00:00Z,0,3,2,12,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.0,0.0,0.4,0,0.00,0.00,0.00,0.09,45,-467,5981,94,561,114,Mads Roerslev Rasmussen,45,DEF,Fulham,Brentford,Brentford
122,115,13,Fulham,3,False,2023-08-19T14:00:00Z,0,3,2,70,0,0,1,0,0,0,0,0,0,0,0,2,1.4,1.3,4.0,0.7,1,0.00,0.05,0.05,0.36,55,-1165,8819,199,1364,115,Kevin Schade,54,MID,Fulham,Brentford,Brentford
123,116,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-955,40755,1140,2095,116,Thomas Strakosha,40,GKP,Fulham,Brentford,Brentford
124,117,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,80,-3130,8975,1016,4146,117,Ivan Toney,79,FWD,Fulham,Brentford,Brentford
125,118,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-267,2581,236,503,118,Ryan Trevitt,45,MID,Fulham,Brentford,Brentford
126,119,13,Fulham,11,False,2023-08-19T14:00:00Z,0,3,2,78,1,1,1,0,0,0,0,0,0,0,2,36,34.4,2.5,68.0,10.5,1,1.43,0.02,1.45,0.36,60,121775,630451,150094,28319,119,Yoane Wissa,62,FWD,Fulham,Brentford,Brentford
127,120,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3265,71847,5809,9074,120,Yegor Yarmolyuk,44,MID,Fulham,Brentford,Brentford
128,121,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-552,8353,244,796,121,Mathias Jorgensen,45,DEF,Fulham,Brentford,Brentford
129,620,13,Fulham,0,False,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,15,1460,186,171,620,Michale Olakigbe,45,MID,Fulham,Brentford,Brentford
130,122,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,15879,46436,19768,3889,122,Simon Adingra,50,MID,Wolves,Brighton,Brighton
131,123,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-960,13432,1036,1996,123,Steven Alzate,44,MID,Wolves,Brighton,Brighton
132,124,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-478,5547,343,821,124,Yasin Ayari,45,MID,Wolves,Brighton,Brighton
133,125,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-880,4840,224,1104,125,Facundo Buonanotte,49,MID,Wolves,Brighton,Brighton
134,127,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1441,4093,0,1441,127,Aaron Connolly,45,FWD,Wolves,Brighton,Brighton
135,128,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,9,0,0,0,0,0,0,0,0,0,0,0,4,5.8,12.8,0.0,1.9,0,0.00,0.02,0.02,0.18,50,582,16050,2532,1950,128,Mahmoud Dahoud,49,MID,Wolves,Brighton,Brighton
136,129,20,Wolves,2,False,2023-08-19T14:00:00Z,1,4,2,90,0,0,0,1,0,0,0,0,0,0,0,16,16.8,0.8,0.0,1.8,1,0.00,0.00,0.00,2.06,50,-1953,409437,27306,29259,129,Lewis Dunk,50,DEF,Wolves,Brighton,Brighton
137,130,20,Wolves,7,False,2023-08-19T14:00:00Z,1,4,2,66,0,2,0,1,0,0,0,1,0,0,0,28,39.0,25.0,30.0,9.4,1,0.20,0.58,0.78,1.77,55,-60824,314362,7617,68441,130,Julio Enciso,54,MID,Wolves,Brighton,Brighton
138,131,20,Wolves,11,False,2023-08-19T14:00:00Z,1,4,2,90,1,1,0,1,0,0,0,1,0,0,1,33,57.0,22.4,29.0,10.8,1,0.25,0.05,0.30,2.06,51,326302,5075583,361772,35470,131,Pervis Estupiñán,53,DEF,Wolves,Brighton,Brighton
139,132,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,23,0,0,0,0,0,0,0,0,0,0,0,-1,2.0,1.5,4.0,0.8,0,0.09,0.01,0.10,0.29,60,-16405,593303,37439,53844,132,Evan Ferguson,59,FWD,Wolves,Brighton,Brighton
140,133,20,Wolves,2,False,2023-08-19T14:00:00Z,1,4,2,90,0,0,0,1,0,0,0,0,0,0,0,15,12.6,6.3,0.0,1.9,1,0.00,0.03,0.03,2.06,50,-1005,9299,364,1369,133,Billy Gilmour,50,MID,Wolves,Brighton,Brighton
141,134,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,80,0,0,0,1,0,0,0,1,0,0,0,12,9.2,22.7,0.0,3.2,1,0.00,0.17,0.17,1.88,65,-42168,342451,5885,48053,134,Pascal Groß,64,MID,Wolves,Brighton,Brighton
142,135,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,33,0,0,0,1,0,0,0,1,0,0,0,-1,8.2,1.1,15.0,2.4,0,0.16,0.01,0.17,1.15,55,205492,2500646,266118,60626,135,João Pedro Junqueira de Jesus,55,FWD,Wolves,Brighton,Brighton
143,136,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1050,2561,0,1050,136,Michał Karbownik,40,DEF,Wolves,Brighton,Brighton
144,137,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-61,184,0,61,137,Kacper Kozłowski,45,MID,Wolves,Brighton,Brighton
145,138,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,9,0,0,0,0,0,0,0,0,0,0,0,4,3.2,11.7,2.0,1.7,0,0.00,0.01,0.01,0.18,50,-1889,4810,44,1933,138,Adam Lallana,49,MID,Wolves,Brighton,Brighton
146,139,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-45719,630032,17782,63501,139,Tariq Lamptey,39,DEF,Wolves,Brighton,Brighton
147,140,20,Wolves,15,False,2023-08-19T14:00:00Z,1,4,2,90,2,0,0,1,0,0,0,0,0,0,3,47,90.8,16.9,66.0,17.4,1,0.87,0.14,1.01,2.06,65,90014,375722,107393,17379,140,Solly March,66,MID,Wolves,Brighton,Brighton
148,141,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-728,22512,924,1652,141,Tom McGill,40,GKP,Wolves,Brighton,Brighton
149,142,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,56,0,0,0,0,0,0,0,1,0,0,0,8,7.0,17.3,0.0,2.4,1,0.00,0.13,0.13,0.91,50,482,23898,2661,2179,142,James Milner,50,MID,Wolves,Brighton,Brighton
150,143,20,Wolves,12,False,2023-08-19T14:00:00Z,1,4,2,80,1,1,0,1,0,0,0,0,0,0,2,40,64.6,49.1,35.0,14.9,1,0.53,0.67,1.20,1.88,65,48485,3482735,151741,103256,143,Kaoru Mitoma,66,MID,Wolves,Brighton,Brighton
151,144,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-617,6534,449,1066,144,Jakub Moder,44,MID,Wolves,Brighton,Brighton
152,146,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-646,1733,0,646,146,Jeremy Sarmiento Morante,45,MID,Wolves,Brighton,Brighton
153,147,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-13,93,0,13,147,Kjell Scherpen,40,GKP,Wolves,Brighton,Brighton
154,148,20,Wolves,3,False,2023-08-19T14:00:00Z,1,4,2,90,0,0,0,1,0,0,0,0,0,4,0,21,38.4,0.0,0.0,3.8,1,0.00,0.00,0.00,2.06,45,-9098,511977,19033,28131,148,Jason Steele,45,GKP,Wolves,Brighton,Brighton
155,149,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-2490,3259,0,2490,149,Deniz Undav,55,FWD,Wolves,Brighton,Brighton
156,150,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,65024,197306,81291,16267,150,Jan Paul van Hecke,40,DEF,Wolves,Brighton,Brighton
157,151,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,33,0,0,0,1,0,0,0,0,0,0,0,8,15.2,0.7,0.0,1.6,0,0.00,0.00,0.00,1.15,45,-11943,92602,2738,14681,151,Joël Veltman,44,DEF,Wolves,Brighton,Brighton
158,152,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-6366,37954,374,6740,152,Bart Verbruggen,44,GKP,Wolves,Brighton,Brighton
159,153,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,90,0,0,0,1,0,0,0,1,0,0,0,20,24.0,0.5,0.0,2.5,1,0.00,0.01,0.01,2.06,45,-7383,21587,154,7537,153,Adam Webster,44,DEF,Wolves,Brighton,Brighton
160,154,20,Wolves,1,False,2023-08-19T14:00:00Z,1,4,2,56,0,0,0,0,0,0,0,0,0,0,0,-3,3.0,15.1,19.0,3.7,1,0.17,0.04,0.21,0.91,60,-29757,194842,11160,40917,154,Danny Welbeck,59,FWD,Wolves,Brighton,Brighton
161,155,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-6684,109374,9246,15930,155,Andi Zeqiri,45,FWD,Wolves,Brighton,Brighton
162,606,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1783,12272,499,2282,606,Igor Julio dos Santos de Paulo,44,DEF,Wolves,Brighton,Brighton
163,621,20,Wolves,0,False,2023-08-19T14:00:00Z,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-44,1235,127,171,621,Jack Hinshelwood,45,MID,Wolves,Brighton,Brighton
164,156,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2094,14677,481,2575,156,Enock Agyei,45,MID,Burnley,Aston Villa,Burnley
165,157,25,Aston Villa,1,True,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,11,9.0,10.4,2.0,2.1,1,0.00,0.18,0.18,2.51,40,4559,60613,11032,6473,157,Ameen Al-Dakhil,40,DEF,Burnley,Aston Villa,Burnley
166,158,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-353,2663,69,422,158,Samuel Bastien,49,MID,Burnley,Aston Villa,Burnley
167,159,25,Aston Villa,1,True,2023-08-27T13:00:00Z,1,3,3,45,0,0,0,2,0,0,0,0,0,0,0,5,2.0,1.6,2.0,0.6,1,0.00,0.00,0.00,1.73,54,-2032,14066,328,2360,159,Manuel Benson Hedilazio,54,MID,Burnley,Aston Villa,Burnley
168,160,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-12726,402789,17412,30138,160,Jordan Beyer,40,DEF,Burnley,Aston Villa,Burnley
169,161,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-4066,19492,281,4347,161,Josh Brownhill,49,MID,Burnley,Aston Villa,Burnley
170,162,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-412,3118,78,490,162,Darko Churlinov,44,MID,Burnley,Aston Villa,Burnley
171,163,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-341,2562,41,382,163,Jack Cork,49,MID,Burnley,Aston Villa,Burnley
172,164,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-860,2219,0,860,164,Dara Costelloe,45,MID,Burnley,Aston Villa,Burnley
173,165,25,Aston Villa,1,True,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,1,0,0,0,11,13.0,15.2,2.0,3.0,1,0.00,0.32,0.32,2.51,50,-499,6503,207,706,165,Josh Cullen,50,MID,Burnley,Aston Villa,Burnley
174,166,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-984,12353,174,1158,166,CJ Egan-Riley,40,DEF,Burnley,Aston Villa,Burnley
175,167,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1505,19756,269,1774,167,Hjalmar Ekdal,40,DEF,Burnley,Aston Villa,Burnley
176,168,25,Aston Villa,7,True,2023-08-27T13:00:00Z,1,3,3,80,1,0,0,3,0,0,0,0,0,0,1,23,34.0,2.2,21.0,5.7,1,0.13,0.00,0.13,2.49,50,-1880,29467,2542,4422,168,Lyle Foster,50,FWD,Burnley,Aston Villa,Burnley
177,169,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-843,14286,269,1112,169,Denis Franchi,40,GKP,Burnley,Aston Villa,Burnley
178,170,25,Aston Villa,4,True,2023-08-27T13:00:00Z,1,3,3,45,0,1,0,1,0,0,0,0,0,0,0,15,23.4,41.4,2.0,6.7,0,0.00,0.11,0.11,0.78,49,-546,3183,36,582,170,Jóhann Berg Gudmundsson,49,MID,Burnley,Aston Villa,Burnley
179,171,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-279,1849,0,279,171,Luke McNally,40,DEF,Burnley,Aston Villa,Burnley
180,172,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2104,21655,178,2282,172,Arijanet Muric,44,GKP,Burnley,Aston Villa,Burnley
181,173,25,Aston Villa,1,True,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,19,35.4,15.3,0.0,5.1,1,0.00,0.02,0.02,2.51,45,-1232,19989,388,1620,173,Dara O'Shea,45,DEF,Burnley,Aston Villa,Burnley
182,174,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-651,3161,76,727,174,Michael Obafemi,50,FWD,Burnley,Aston Villa,Burnley
183,175,25,Aston Villa,0,True,2023-08-27T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-122,1521,0,122,175,Bailey Peacock-Farrell,40,GKP,Burnley,Aston Villa,Burnley
184,176,25,Aston Villa,1,True,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,15,19.8,10.5,0.0,3.0,1,0.00,0.12,0.12,2.51,45,-1871,26608,402,2273,176,Connor Roberts,45,DEF,Burnley,Aston Villa,Burnley
